"Date","Temperature","Salin","Fluorescence","Turbidity","Oxygen"
2024-08-10 00:00:20,4.7212,34.9337,0.0086,0.1409,5.9228
2024-08-10 02:00:20,4.678,34.9355,0.0114,0.1409,6.0127
2024-08-10 04:00:20,4.608,34.9381,0.0068,0.1463,6.1102
2024-08-10 06:00:20,4.7258,34.9332,0.0191,0.1328,5.9442
2024-08-10 08:00:20,4.7441,34.9326,0.0095,0.1363,5.9163
2024-08-10 10:00:20,4.6565,34.9349,0.0159,0.1347,6.0269
2024-08-10 12:00:20,4.6978,34.9352,0.005,0.1341,5.9749
2024-08-10 14:00:20,4.5523,34.9403,0.0123,0.1482,6.1619
2024-08-10 16:00:20,4.6671,34.9298,0.0146,0.1347,6.0154
2024-08-10 18:00:20,4.5553,34.942,8e-04,0.1589,6.1828
2024-08-10 20:00:20,4.6029,34.938,0.0095,0.1264,6.0997
2024-08-10 22:00:20,4.6041,34.9383,0.005,0.1339,6.09
2024-08-11 00:00:20,4.5745,34.9392,0.01,0.1411,6.1372
2024-08-11 02:00:20,4.5887,34.9389,8e-04,0.1425,6.1163
2024-08-11 04:00:20,4.6084,34.9378,0.0091,0.1272,6.0834
2024-08-11 06:00:20,4.5614,34.9395,0.0082,0.1339,6.1441
2024-08-11 08:00:20,4.5381,34.9408,0.0118,0.1447,6.1796
2024-08-11 10:00:20,4.5104,34.942,0.0164,0.1493,6.2171
2024-08-11 12:00:20,4.5365,34.941,0.0127,0.1276,6.1817
2024-08-11 14:00:20,4.5276,34.9413,0.0091,0.1301,6.1831
2024-08-11 16:00:20,4.5567,34.9397,0.0137,0.1325,6.1486
2024-08-11 18:00:20,4.5449,34.9405,0.0127,0.1292,6.1638
2024-08-11 20:00:20,4.5533,34.9403,0.0063,0.1266,6.1459
2024-08-11 22:00:20,4.5445,34.9406,0.0054,0.129,6.16
2024-08-12 00:00:20,4.5667,34.9406,0.005,0.1345,6.14
2024-08-12 02:00:20,4.5015,34.9426,0.0086,0.1856,6.2307
2024-08-12 04:00:20,4.4956,34.9429,0.0072,0.1682,6.2413
2024-08-12 06:00:20,4.4805,34.9435,0.0054,0.1611,6.2588
2024-08-12 08:00:20,4.4867,34.9433,0.0072,0.1582,6.2497
2024-08-12 10:00:20,4.4967,34.9426,8e-04,0.1505,6.2354
2024-08-12 12:00:20,4.5003,34.9427,0.0045,0.1452,6.2191
2024-08-12 14:00:20,4.5136,34.9418,0.0086,0.1479,6.2096
2024-08-12 16:00:20,4.5193,34.9419,0.0027,0.1489,6.1959
2024-08-12 18:00:20,4.513,34.9421,0.0191,0.1438,6.2039
2024-08-12 20:00:20,4.5043,34.9423,0.0173,0.1425,6.2109
2024-08-12 22:00:20,4.5014,34.9429,0.0091,0.1429,6.2102
2024-08-13 00:00:20,4.5027,34.9426,0.01,0.1312,6.2051
2024-08-13 02:00:20,4.5081,34.9423,0.0086,0.1339,6.2012
2024-08-13 04:00:20,4.5115,34.9422,0.0159,0.1289,6.1927
2024-08-13 06:00:20,4.5205,34.9412,0.0082,0.131,6.1741
2024-08-13 08:00:20,4.512,34.9422,0.0086,0.129,6.1812
2024-08-13 10:00:20,4.5276,34.9415,0.0063,0.1385,6.1637
2024-08-13 12:00:20,4.5317,34.9414,0.0095,0.1321,6.1542
2024-08-13 14:00:20,4.5313,34.9413,0.0091,0.1284,6.1535
2024-08-13 16:00:20,4.54,34.9409,0.0018,0.1305,6.1443
2024-08-13 18:00:20,4.5378,34.9412,0.004,0.1406,6.1495
2024-08-13 20:00:20,4.5528,34.9402,0.0173,0.1334,6.1379
2024-08-13 22:00:20,4.5706,34.9396,0.0086,0.1334,6.1151
2024-08-14 00:00:20,4.5808,34.9395,0.0159,0.1353,6.0975
2024-08-14 02:00:20,4.5916,34.9389,0.0173,0.1386,6.0878
2024-08-14 04:00:20,4.5976,34.9389,8e-04,0.1287,6.0705
2024-08-14 06:00:20,4.5937,34.9387,0.0045,0.1281,6.0693
2024-08-14 08:00:20,4.5829,34.9395,0.0022,0.1295,6.0787
2024-08-14 10:00:20,4.5961,34.9385,0.0123,0.1273,6.0667
2024-08-14 12:00:20,4.6079,34.9383,0.0114,0.1273,6.0518
2024-08-14 14:00:20,4.6158,34.9378,0.0164,0.1251,6.0386
2024-08-14 16:00:20,4.6245,34.9377,0.0059,0.142,6.0326
2024-08-14 18:00:20,4.6117,34.9379,0.0086,0.1292,6.049
2024-08-14 20:00:20,4.6092,34.938,-0.0024,0.1267,6.0447
2024-08-14 22:00:20,4.63,34.9372,0.0146,0.1338,6.0162
2024-08-15 00:00:20,4.6499,34.9371,0.0164,0.1301,5.9952
2024-08-15 02:00:20,4.6675,34.9362,0.0141,0.1309,5.962
2024-08-15 04:00:20,4.6578,34.9362,0.0063,0.1273,5.9766
2024-08-15 06:00:20,4.6352,34.9375,0.0082,0.1284,6.0108
2024-08-15 08:00:20,4.6159,34.9379,0.0123,0.1325,6.0338
2024-08-15 10:00:20,4.6234,34.9377,0.0018,0.1324,6.0254
2024-08-15 12:00:20,4.6157,34.9379,0.0105,0.149,6.0377
2024-08-15 14:00:20,4.5981,34.9386,0.0105,0.1399,6.0599
2024-08-15 16:00:20,4.6004,34.9383,0.0036,0.1421,6.0532
2024-08-15 18:00:20,4.6085,34.9384,0.0086,0.158,6.0457
2024-08-15 20:00:20,4.6068,34.9383,0.0123,0.1231,6.0432
2024-08-15 22:00:20,4.6214,34.9374,0.0095,0.1257,6.0283
2024-08-16 00:00:20,4.656,34.9361,0.0091,0.1228,5.9801
2024-08-16 02:00:20,4.6722,34.9356,0.0086,0.1237,5.9582
2024-08-16 04:00:20,4.6474,34.9365,0.0178,0.1589,5.9927
2024-08-16 06:00:20,4.6583,34.9363,4e-04,0.1304,5.9759
2024-08-16 08:00:20,4.6375,34.9372,0.0082,0.1347,6.0036
2024-08-16 10:00:20,4.6005,34.9386,0.01,0.1296,6.0501
2024-08-16 12:00:20,4.5916,34.939,0.0146,0.1287,6.0682
2024-08-16 14:00:20,4.6165,34.9378,0.0123,0.1261,6.0268
2024-08-16 16:00:20,4.624,34.9385,0.0118,0.1228,6.0205
2024-08-16 18:00:20,4.6352,34.9366,0.004,0.1247,6.001
2024-08-16 20:00:20,4.6578,34.9354,0.0137,0.1238,5.9634
2024-08-16 22:00:20,4.6872,34.9354,0.0114,0.1238,5.935
2024-08-17 00:00:20,4.6612,34.9362,0.0063,0.1266,5.9628
2024-08-17 02:00:20,4.6722,34.9364,0.0091,0.1258,5.9497
2024-08-17 04:00:20,4.6511,34.9367,0.021,0.1336,5.9791
2024-08-17 06:00:20,4.6385,34.9374,0.0137,0.1334,5.985
2024-08-17 08:00:20,4.6439,34.9369,0.0031,0.1269,5.9855
2024-08-17 10:00:20,4.6269,34.9376,0.0031,0.1307,6.0061
2024-08-17 12:00:20,4.7163,34.9344,0.0082,0.1748,5.8975
2024-08-17 14:00:20,4.6136,34.938,0.0137,0.1287,6.0224
2024-08-17 16:00:20,4.7305,34.9333,0.0159,0.1289,5.8758
2024-08-17 18:00:20,4.7138,34.9344,0.0054,0.1284,5.8969
2024-08-17 20:00:20,4.7169,34.9342,0.0114,0.1293,5.8936
2024-08-17 22:00:20,4.7203,34.9341,0.0109,0.1305,5.8998
2024-08-18 00:00:20,4.7065,34.9343,0.0086,0.1351,5.9195
2024-08-18 02:00:20,4.6954,34.9355,0.0077,0.1299,5.9307
2024-08-18 04:00:20,4.6753,34.936,0.0137,0.1309,5.9443
2024-08-18 06:00:20,4.6662,34.9362,0.0196,0.1296,5.9543
2024-08-18 08:00:20,4.6682,34.9364,0.0109,0.1281,5.9555
2024-08-18 10:00:20,4.6892,34.9364,0.0072,0.1272,5.9203
2024-08-18 12:00:20,4.6918,34.9354,0.0118,0.1298,5.92
2024-08-18 14:00:20,4.6382,34.9373,0.0146,0.1284,5.9826
2024-08-18 16:00:20,4.6299,34.9378,0.015,0.1399,5.9853
2024-08-18 18:00:20,4.624,34.9376,0.0155,0.1325,5.9961
2024-08-18 20:00:20,4.6385,34.9375,0.0068,0.1312,5.9794
2024-08-18 22:00:20,4.6711,34.9378,0.0095,0.142,5.952
2024-08-19 00:00:20,4.6721,34.9357,0.0095,0.1266,5.957
2024-08-19 02:00:20,4.664,34.9361,0.0132,0.1411,5.9677
2024-08-19 04:00:20,4.6612,34.9366,0.0018,0.1322,5.9663
2024-08-19 06:00:20,4.6548,34.9371,0.0118,0.1359,5.9636
2024-08-19 08:00:20,4.6523,34.9366,0.0059,0.1292,5.9794
2024-08-19 10:00:20,4.6484,34.9363,0.0123,0.1293,5.9763
2024-08-19 12:00:20,4.6597,34.9362,0.0123,0.1225,5.9639
2024-08-19 14:00:20,4.6863,34.9346,0.0059,0.1276,5.9293
2024-08-19 16:00:20,4.6244,34.9378,0.005,0.1275,6.0004
2024-08-19 18:00:20,4.6338,34.9374,0.0141,0.1399,5.9866
2024-08-19 20:00:20,4.6393,34.9369,-1e-04,0.1251,5.9826
2024-08-19 22:00:20,4.6647,34.9361,0.0169,0.1261,5.9505
2024-08-20 00:00:20,4.6553,34.9368,0.0095,0.1309,5.9564
2024-08-20 02:00:20,4.6837,34.9355,0.0086,0.1379,5.928
2024-08-20 04:00:20,4.6724,34.9358,0.0159,0.1479,5.939
2024-08-20 06:00:20,4.6905,34.9348,0.0036,0.1341,5.9191
2024-08-20 08:00:20,4.7026,34.9353,0.0072,0.1322,5.8993
2024-08-20 10:00:20,4.6878,34.9343,0.005,0.1284,5.9182
2024-08-20 12:00:20,4.6991,34.9347,0.0082,0.1394,5.9055
2024-08-20 14:00:20,4.7338,34.932,0.0146,0.1298,5.8521
2024-08-20 16:00:20,4.7016,34.9342,0.01,0.1316,5.8968
2024-08-20 18:00:20,4.6902,34.9354,0.0123,0.1873,5.9091
2024-08-20 20:00:20,4.6777,34.9359,0.0137,0.1296,5.9255
2024-08-20 22:00:20,4.6806,34.9358,0.0082,0.1272,5.9169
2024-08-21 00:00:20,4.6829,34.9355,0.0095,0.1267,5.915
2024-08-21 02:00:20,4.6881,34.9354,0.0178,0.1331,5.9114
2024-08-21 04:00:20,4.6903,34.9354,0.0027,0.1267,5.9073
2024-08-21 06:00:20,4.7055,34.9345,0.0155,0.1411,5.8894
2024-08-21 08:00:20,4.7195,34.9345,-5e-04,0.1296,5.8788
2024-08-21 10:00:20,4.7336,34.934,-5e-04,0.1295,5.8596
2024-08-21 12:00:20,4.7352,34.9339,0.0091,0.1283,5.8551
2024-08-21 14:00:20,4.7231,34.9339,0.0054,0.1226,5.8731
2024-08-21 16:00:20,4.7089,34.9347,0.01,0.1312,5.886
2024-08-21 18:00:20,4.6906,34.9353,0.0091,0.1324,5.9082
2024-08-21 20:00:20,4.6691,34.9362,0.0054,0.1388,5.9349
2024-08-21 22:00:20,4.6639,34.9365,0.0059,0.1409,5.9286
2024-08-22 00:00:20,4.7018,34.9342,0.0063,0.1305,5.895
2024-08-22 02:00:20,4.7283,34.9339,0.0091,0.129,5.8596
2024-08-22 04:00:20,4.7114,34.9344,0.0059,0.1293,5.8778
2024-08-22 06:00:20,4.7032,34.9353,0.0132,0.1316,5.886
2024-08-22 08:00:20,4.6712,34.9359,0.0141,0.133,5.9176
2024-08-22 10:00:20,4.6713,34.9361,0.0159,0.1365,5.9145
2024-08-22 12:00:20,4.7038,34.9351,-1e-04,0.1394,5.8974
2024-08-22 14:00:20,4.6973,34.935,0.0173,0.1278,5.8938
2024-08-22 16:00:20,4.6642,34.9355,0.0086,0.1376,5.918
2024-08-22 18:00:20,4.6614,34.9359,0.0082,0.1438,5.9318
2024-08-22 20:00:20,4.703,34.9352,0.01,0.1327,5.8998
2024-08-22 22:00:20,4.6995,34.9351,0.0118,0.1302,5.8972
2024-08-23 00:00:20,4.731,34.9339,0.005,0.1251,5.8626
2024-08-23 02:00:20,4.696,34.9352,0.0022,0.1321,5.8955
2024-08-23 04:00:20,4.6959,34.9352,0.0127,0.1396,5.8986
2024-08-23 06:00:20,4.7063,34.9339,0.0059,0.133,5.8715
2024-08-23 08:00:20,4.6748,34.9362,0.0036,0.133,5.9155
2024-08-23 10:00:20,4.6721,34.9363,0.0164,0.1312,5.9163
2024-08-23 12:00:20,4.677,34.9351,0.0114,0.1269,5.911
2024-08-23 14:00:20,4.7243,34.9344,0.0059,0.1272,5.8667
2024-08-23 16:00:20,4.7324,34.9339,0.0059,0.1258,5.8536
2024-08-23 18:00:20,4.7979,34.9313,0.0072,0.1226,5.7805
2024-08-23 20:00:20,4.724,34.9343,0.01,0.1321,5.8618
2024-08-23 22:00:20,4.7459,34.933,0.0105,0.1309,5.8292
2024-08-24 00:00:20,4.6962,34.9351,0.0086,0.1302,5.8864
2024-08-24 02:00:20,4.6882,34.9356,0.0082,0.1257,5.8976
2024-08-24 04:00:20,4.7203,34.9346,-1e-04,0.1276,5.8568
2024-08-24 06:00:20,4.7189,34.9343,0.0123,0.1324,5.8475
2024-08-24 08:00:20,4.7202,34.9344,0.0141,0.1334,5.8507
2024-08-24 10:00:20,4.7199,34.9345,0.0114,0.1345,5.856
2024-08-24 12:00:20,4.7163,34.9344,0.0027,0.1281,5.8592
2024-08-24 14:00:20,4.7151,34.9344,0.015,0.1269,5.8612
2024-08-24 16:00:20,4.7187,34.9344,0.0132,0.147,5.8602
2024-08-24 18:00:20,4.7805,34.9302,4e-04,0.1273,5.7903
2024-08-24 20:00:20,4.7696,34.9318,0.0045,0.1289,5.7996
2024-08-24 22:00:20,4.7764,34.9323,0.0077,0.1353,5.7868
2024-08-25 00:00:20,4.7672,34.9325,0.0068,0.1347,5.8035
2024-08-25 02:00:20,4.7409,34.9344,0.0114,0.1338,5.8292
2024-08-25 04:00:20,4.7429,34.9332,0.0054,0.1315,5.8317
2024-08-25 06:00:20,4.7457,34.9337,0.005,0.1255,5.8209
2024-08-25 08:00:20,4.7602,34.935,0.0086,0.1341,5.8061
2024-08-25 10:00:20,4.779,34.9321,-0.001,0.1324,5.7823
2024-08-25 12:00:20,4.8004,34.9319,0.0022,0.1322,5.7536
2024-08-25 14:00:20,4.8064,34.931,0.0123,0.1417,5.7495
2024-08-25 16:00:20,4.8045,34.9305,0.0059,0.1318,5.7502
2024-08-25 18:00:20,4.8377,34.9297,0.0086,0.1322,5.7174
2024-08-25 20:00:20,4.8514,34.9296,0.0137,0.1327,5.696
2024-08-25 22:00:20,4.8475,34.9296,0.0095,0.135,5.6958
2024-08-26 00:00:20,4.9009,34.9291,0.0022,0.1322,5.642
2024-08-26 02:00:20,4.8891,34.9278,0.0054,0.1293,5.6588
2024-08-26 04:00:20,4.9143,34.9308,4e-04,0.1302,5.633
2024-08-26 06:00:20,4.8909,34.9292,0.0018,0.1267,5.6593
2024-08-26 08:00:20,4.8872,34.9276,0.0137,0.1295,5.6588
2024-08-26 10:00:20,4.8424,34.9296,0.0027,0.1348,5.7033
2024-08-26 12:00:20,4.8114,34.9296,0.0072,0.1341,5.7394
2024-08-26 14:00:20,4.8208,34.9305,8e-04,0.1336,5.7181
2024-08-26 16:00:20,4.8491,34.93,0.0105,0.1339,5.6894
2024-08-26 18:00:20,4.9248,34.9269,-5e-04,0.1333,5.6247
2024-08-26 20:00:20,4.8993,34.9277,0.0109,0.1943,5.6513
2024-08-26 22:00:20,4.8611,34.9293,0.0063,0.136,5.6835
2024-08-27 00:00:20,4.905,34.9275,0.0013,0.128,5.6372
2024-08-27 02:00:20,4.8668,34.9287,0.0118,0.128,5.6871
2024-08-27 04:00:20,4.8946,34.9292,0.0036,0.1273,5.6606
2024-08-27 06:00:20,4.9324,34.9265,0.0141,0.1251,5.6211
2024-08-27 08:00:20,4.9034,34.9274,0.0169,0.1243,5.6439
2024-08-27 10:00:20,4.8832,34.9281,0.0095,0.127,5.6659
2024-08-27 12:00:20,4.9081,34.927,0.0086,0.1342,5.639
2024-08-27 14:00:20,4.8684,34.9288,0.0141,0.1273,5.6815
2024-08-27 16:00:20,4.8694,34.9287,0.0095,0.128,5.6752
2024-08-27 18:00:20,4.8688,34.9287,8e-04,0.1328,5.6694
2024-08-27 20:00:20,4.9606,34.9253,0.0054,0.1272,5.5782
2024-08-27 22:00:20,4.9543,34.9261,0.0141,0.144,5.5856
2024-08-28 00:00:20,4.9751,34.9247,0.0132,0.1287,5.5679
2024-08-28 02:00:20,4.9677,34.9251,-0.0037,0.1257,5.5828
2024-08-28 04:00:20,4.9449,34.9257,0.0114,0.1244,5.6067
2024-08-28 06:00:20,5.0187,34.9204,0.0155,0.1286,5.5015
2024-08-28 08:00:20,4.9639,34.925,0.0059,0.1276,5.5749
2024-08-28 10:00:20,4.9831,34.9242,0.0027,0.1246,5.5558
2024-08-28 12:00:20,4.979,34.9245,0.015,0.1272,5.5638
2024-08-28 14:00:20,4.9723,34.9248,0.01,0.1234,5.5716
2024-08-28 16:00:20,4.9344,34.9263,0.0045,0.1379,5.6039
2024-08-28 18:00:20,4.9378,34.926,8e-04,0.131,5.5994
2024-08-28 20:00:20,5.0058,34.9235,-0.0024,0.1264,5.5407
2024-08-28 22:00:20,5.0644,34.9217,0.0118,0.127,5.4729
2024-08-29 00:00:20,5.0433,34.9227,0.0132,0.1296,5.4998
2024-08-29 02:00:20,5.0187,34.9233,0.0036,0.124,5.5318
2024-08-29 04:00:20,5.0078,34.9236,0.005,0.1733,5.5426
2024-08-29 06:00:20,5.1151,34.9199,0.0036,0.1237,5.4235
2024-08-29 08:00:20,5.0822,34.9205,0.0086,0.1254,5.4532
2024-08-29 10:00:20,5.0906,34.92,0.0118,0.127,5.4441
2024-08-29 12:00:20,5.0312,34.9227,0.01,0.1298,5.5047
2024-08-29 14:00:20,4.9856,34.9245,0.004,0.1324,5.555
2024-08-29 16:00:20,4.987,34.9242,-1e-04,0.1305,5.5539
2024-08-29 18:00:20,4.965,34.9249,0.0045,0.1389,5.5695
2024-08-29 20:00:20,5.0151,34.9233,0.005,0.1266,5.5175
2024-08-29 22:00:20,5.0529,34.9227,0.0164,0.1228,5.4742
2024-08-30 00:00:20,5.1312,34.9199,0.005,0.1357,5.3982
2024-08-30 02:00:20,5.0885,34.9204,0.005,0.1257,5.4515
2024-08-30 04:00:20,5.08,34.921,0.0068,0.1382,5.4589
2024-08-30 06:00:20,5.1211,34.9195,-0.0037,0.1286,5.4105
2024-08-30 08:00:20,5.1499,34.9183,0.0109,0.1359,5.3753
2024-08-30 10:00:20,5.1529,34.9189,0.015,0.1315,5.3757
2024-08-30 12:00:20,5.1059,34.9191,0.0164,0.1266,5.4246
2024-08-30 14:00:20,5.0706,34.9212,0.0068,0.1423,5.4608
2024-08-30 16:00:20,5.0489,34.9219,0.0013,0.1276,5.485
2024-08-30 18:00:20,4.9441,34.926,-1e-04,0.1336,5.5911
2024-08-30 20:00:20,5.0195,34.9227,0.0022,0.1298,5.5089
2024-08-30 22:00:20,5.0691,34.919,0.004,0.1211,5.4584
2024-08-31 00:00:20,5.1681,34.916,0.0077,0.1226,5.3503
2024-08-31 02:00:20,5.0956,34.9215,4e-04,0.1269,5.4365
2024-08-31 04:00:20,5.0991,34.9201,0.0063,0.2348,5.4411
2024-08-31 06:00:20,5.1672,34.9182,0.0072,0.1322,5.3723
2024-08-31 08:00:20,5.133,34.9191,0.0077,0.1327,5.3927
2024-08-31 10:00:20,5.1791,34.9169,0.0164,0.1312,5.3513
2024-08-31 12:00:20,5.154,34.9183,0.0114,0.1293,5.3759
2024-08-31 14:00:20,5.123,34.9194,0.0059,0.1336,5.4067
2024-08-31 16:00:20,5.0901,34.9205,0.0164,0.1249,5.4376
2024-08-31 18:00:20,5.0577,34.9216,0.0164,0.1281,5.4726
2024-08-31 20:00:20,5.0825,34.9206,0.004,0.1251,5.4403
2024-08-31 22:00:20,5.0521,34.9219,0.0077,0.129,5.482
2024-09-01 00:00:20,5.1192,34.9198,0.0109,0.1298,5.4124
2024-09-01 02:00:20,5.0728,34.9209,0.0123,0.1309,5.4662
2024-09-01 04:00:20,5.0656,34.9214,0.0109,0.1345,5.4714
2024-09-01 06:00:20,5.1104,34.9198,0.0045,0.1232,5.4244
2024-09-01 08:00:20,5.175,34.9175,0.0155,0.1386,5.3521
2024-09-01 10:00:20,5.1466,34.9185,0.0072,0.1392,5.3784
2024-09-01 12:00:20,5.1184,34.9196,0.0086,0.1376,5.4069
2024-09-01 14:00:20,5.0902,34.9204,0.0018,0.1429,5.4339
2024-09-01 16:00:20,5.0713,34.9209,0.0118,0.1321,5.4535
2024-09-01 18:00:20,5.0765,34.9208,0.0077,0.1255,5.4455
2024-09-01 20:00:20,5.0532,34.9217,0.0022,0.1286,5.4714
2024-09-01 22:00:20,5.0778,34.9211,0.0095,0.1322,5.4413
2024-09-02 00:00:20,5.0927,34.9206,0.0031,0.1333,5.4136
2024-09-02 02:00:20,5.1138,34.9201,0.0137,0.1344,5.4163
2024-09-02 04:00:20,5.0587,34.9217,0.0045,0.1371,5.4709
2024-09-02 06:00:20,5.0736,34.9212,0.0114,0.1357,5.4526
2024-09-02 08:00:20,5.1616,34.9181,0.0082,0.1301,5.3528
2024-09-02 10:00:20,5.1526,34.9184,0.004,0.142,5.359
2024-09-02 12:00:20,5.1586,34.9182,0.0109,0.138,5.3605
2024-09-02 14:00:20,5.1256,34.9194,0.0127,0.1377,5.3859
2024-09-02 16:00:20,5.1046,34.92,0.0118,0.1347,5.4126
2024-09-02 18:00:20,5.1018,34.9199,0.01,0.1319,5.4084
2024-09-02 20:00:20,5.0976,34.9203,0.0068,0.1264,5.4089
2024-09-02 22:00:20,5.1062,34.9199,0.005,0.1273,5.406
2024-09-03 00:00:20,5.095,34.9202,0.0137,0.1235,5.4144
2024-09-03 02:00:20,5.0936,34.9208,0.0013,0.1312,5.4165
2024-09-03 04:00:20,5.1837,34.9169,0.005,0.1266,5.3278
2024-09-03 06:00:20,5.1585,34.9185,0.0072,0.1383,5.3634
2024-09-03 08:00:20,5.135,34.9188,0.0137,0.1376,5.3886
2024-09-03 10:00:20,5.1216,34.9194,0.0063,0.133,5.3946
2024-09-03 12:00:20,5.1327,34.9189,0.0132,0.1345,5.3837
2024-09-03 14:00:20,5.1366,34.9188,0.015,0.136,5.365
2024-09-03 16:00:20,5.1177,34.9194,0.0086,0.138,5.3934
2024-09-03 18:00:20,5.1128,34.9201,0.0045,0.1464,5.3974
2024-09-03 20:00:20,5.0995,34.92,0.0123,0.142,5.4155
2024-09-03 22:00:20,5.0916,34.9206,0.0059,0.138,5.4218
2024-09-04 00:00:20,5.1213,34.9196,0.0091,0.1388,5.3821
2024-09-04 02:00:20,5.1323,34.9195,0.0159,0.1338,5.3636
2024-09-04 04:00:20,5.0696,34.9213,0.0068,0.1438,5.4275
2024-09-04 06:00:20,5.111,34.9201,0.0077,0.1417,5.3889
2024-09-04 08:00:20,5.0996,34.9205,0.0123,0.1452,5.4071
2024-09-04 10:00:20,5.0357,34.9222,0.0045,0.1373,5.4898
2024-09-04 12:00:20,5.0712,34.9209,-0.0037,0.1351,5.4568
2024-09-04 14:00:20,5.1127,34.9194,0.0077,0.1368,5.3944
2024-09-04 16:00:20,5.0734,34.9216,0.0169,0.1347,5.4244
2024-09-04 18:00:20,5.0895,34.9204,0.0082,0.1443,5.4173
2024-09-04 20:00:20,5.0996,34.92,0.0063,0.1338,5.3984
2024-09-04 22:00:20,5.0942,34.9204,0.0146,0.1528,5.4139
2024-09-05 00:00:20,5.053,34.9222,0.0114,0.1467,5.4586
2024-09-05 02:00:20,4.8974,34.9273,4e-04,0.1338,5.642
2024-09-05 04:00:20,5.0447,34.922,0.0068,0.1374,5.4684
2024-09-05 06:00:20,5.021,34.9232,8e-04,0.1379,5.4919
2024-09-05 08:00:20,5.0236,34.9226,0.0123,0.153,5.4933
2024-09-05 10:00:20,5.0206,34.9228,0.0109,0.136,5.4802
2024-09-05 12:00:20,4.9698,34.9246,0.0132,0.1859,5.545
2024-09-05 14:00:20,4.9831,34.9243,0.0233,0.1333,5.5241
2024-09-05 16:00:20,4.9537,34.9251,0.0063,0.1331,5.553
2024-09-05 18:00:20,4.9903,34.9232,0.0063,0.1425,5.5038
2024-09-05 20:00:20,4.7862,34.9347,0.0022,0.1312,5.7622
2024-09-05 22:00:20,4.8222,34.9309,0.0054,0.1328,5.7202
2024-09-06 00:00:20,4.6582,34.9367,0.01,0.1284,5.9335
2024-09-06 02:00:20,4.8405,34.9328,0.0095,0.1336,5.7125
2024-09-06 04:00:20,4.8617,34.9288,0.0118,0.1327,5.6757
2024-09-06 06:00:20,4.8047,34.931,0.0018,0.1363,5.7405
2024-09-06 08:00:20,4.8003,34.9312,0.0118,0.1264,5.7376
2024-09-06 10:00:20,4.7957,34.9312,0.0091,0.129,5.7322
2024-09-06 12:00:20,4.7886,34.9314,0.0082,0.1264,5.7386
2024-09-06 14:00:20,4.78,34.9317,0.0077,0.1312,5.7536
2024-09-06 16:00:20,4.7803,34.9318,8e-04,0.1318,5.7474
2024-09-06 18:00:20,4.7391,34.9339,0.0114,0.1273,5.8005
2024-09-06 20:00:20,4.6855,34.9357,0.005,0.1371,5.8662
2024-09-06 22:00:20,4.7327,34.9329,0.0201,0.1273,5.8067
2024-09-07 00:00:20,4.8588,34.9282,0.005,0.126,5.6705
2024-09-07 02:00:20,4.8217,34.9302,0.0105,0.1247,5.7098
2024-09-07 04:00:20,4.7508,34.9328,0.0072,0.1258,5.7855
2024-09-07 06:00:20,4.7377,34.934,0.0127,0.1272,5.8008
2024-09-07 08:00:20,4.7921,34.9306,0.0013,0.1373,5.7271
